iter	Passed	Remaining
857	24314	4024
858	24340	3995
859	24366	3966
860	24392	3937
861	24417	3909
862	24447	3881
863	24474	3852
864	24501	3823
865	24530	3795
866	24558	3767
867	24584	3738
868	24611	3710
869	24639	3681
870	24668	3653
871	24693	3624
872	24721	3596
873	24751	3568
874	24777	3539
875	24804	3511
876	24831	3482
877	24859	3454
878	24884	3425
879	24910	3396
880	24936	3368
881	24963	3339
882	24991	3311
883	25017	3282
884	25046	3254
885	25073	3226
886	25101	3197
887	25127	3169
888	25155	3140
889	25182	3112
890	25208	3083
891	25234	3055
892	25262	3026
893	25287	2998
894	25313	2969
895	25340	2941
896	25365	2912
897	25393	2884
898	25419	2855
899	25447	2827
900	25473	2798
901	25500	2770
902	25526	2742
903	25552	2713
904	25578	2685
905	25604	2656
906	25631	2628
907	25659	2599
908	25689	2571
909	25717	2543
910	25744	2515
911	25770	2486
912	25797	2458
913	25824	2429
914	25851	2401
915	25879	2373
916	25906	2344
917	25932	2316
918	25959	2288
919	25985	2259
920	26012	2231
921	26039	2202
922	26066	2174
923	26093	2146
924	26120	2117
925	26147	2089
926	26174	2061
927	26202	2032
928	26229	2004
929	26256	1976
930	26280	1947
931	26308	1919
932	26334	1891
933	26363	1862
934	26390	1834
935	26418	1806
936	26445	1778
937	26470	1749
938	26498	1721
939	26527	1693
940	26553	1664
941	26579	1636
942	26606	1608
943	26634	1580
944	26660	1551
945	26687	1523
946	26713	1495
947	26739	1466
948	26768	1438
949	26796	1410
950	26823	1382
951	26851	1353
952	26877	1325
953	26904	1297
954	26928	1268
955	26956	1240
956	26983	1212
957	27016	1184
958	27044	1156
959	27073	1128
960	27102	1099
961	27130	1071
962	27159	1043
963	27187	1015
964	27213	987
965	27239	958
966	27266	930
967	27293	902
968	27320	874
969	27348	845
970	27374	817
971	27402	789
972	27429	761
973	27454	732
974	27482	704
975	27508	676
976	27534	648
977	27562	620
978	27591	591
979	27619	563
980	27647	535
981	27673	507
982	27701	479
983	27728	450
984	27753	422
985	27780	394
986	27807	366
987	27834	338
988	27860	309
989	27886	281
990	27914	253
991	27941	225
992	27968	197
993	27993	168
994	28020	140
995	28048	112
996	28074	84
997	28105	56
998	28131	28
999	28159	0
